id,category,text
265,건강,우리 머리 타고난 게 다르네
266,건강,셋 중 같은 사람 한 명 없다
267,건강,이런 게 의 신비 로움 아니겠어
268,건강,그치 우리 다름
269,건강,건강 은 셋 안 좋아
270,건강,인정 안마 의자 좀 사주 라
271,건강,안마 의자 안마 받고 싶음
272,건강,안마 의자 살라 했는데 집 대문 작아서 못 삼
273,건강,겁나 웃기 안마 의자 돈 인데 들이는 것 돈 이네
274,건강,모 안마 의자 생각 보다 안 시원해
275,건강,그니까 타이 마사지 가끔 받는데 좋긴 함
276,건강,마사지 너무 받고 싶음 몸 너무 쑤셔
277,건강,타이 마사지 우리 여행 가지 말고 마사지 받으러 갔다 타이 음식 먹자
278,건강,만원 이면 받을 수 있어 함 가자
279,건강,대박 꿀 정보 알려 드림 옮긴 헬스장 트레이너 얼굴 보고 뽑음 백퍼
280,건강,대체 어느 정도 길 래 돌부처 인 니 이렇게 흥분하는 거야
281,건강,전 강제 로 운동 시키던 트레이너 잘생겼던데 오늘 눈 호강 했잖아
282,건강,더 말 해줘 지금 운동 새로 등록 할까 엄청나게 혹 하는 중이
283,건강,오늘 등록 도와주던 직원 은 아이돌 이었어 프로 듀스 에서 내 좋아한 애 닮았어
284,건강,이야 대단한데 운동 가고 싶어지겠다 아주 긍정 적 인 효과
285,건강,진심 상담 하러 갔다가 눈 마주 치고 설레서 바로 계약 했잖아
286,건강,운동 하러 가는 거 맞냐고 불순 한 의도 로 건강해지네
287,건강,내 정말 오라 고 영업 하려고 하는 말 아니라니까 그런데 서비스 괜찮았어
288,건강,운동 가르쳐주는 건 잘 가르쳐줘
289,건강,기구 같은 건 내 제대로 하고 있는지 잘 모르 겠더라고
290,건강,내 경우 에는 오늘 기구 좀 해볼까 하고 얼쩡거리니까 어디 선 회원 님 하면서 나타나시더라
291,건강,너무 관심 집중 되어도 부담스럽고 부끄럽지 않아
292,건강,지난달 우리 같이 다니던 곳 딱 그랬잖아 대표 님 열정 맨이셔서
293,건강,눈 띄면 살 빼 버린다 하는 의지 느껴졌지
294,건강,위치 어떤데
295,건강,우리 다니던 곳 이랑 거의 비슷한데
296,건강,너희 집 에서 분 정도 더 걸으면 될 거야
297,건강,나도 다녀 볼까 몸 의 건강 과 정신 의 건강 동시 잡는 걸 노리겠어
298,건강,코로나 백신 맞으셨어요
299,건강,저 어제 차 맞았어요 아픔
300,건강,확실히 이차 아프죠
301,건강,팔이 너무 욱 신 거리 고 근육통
302,건강,저 다음 날 부터 엄청 아파서 고생 했어요
303,건강,맞은 데 붓고 왼쪽 으로 자고 싶은데 못 눕고
304,건강,맞아요 개 불편 열은 안 나요
305,건강,차 랑 차 랑 둘 열은 안 나는데 근육통 심해 요
306,건강,근육통 다른 부작용 은 없으세요
307,건강,말곤 없는 거 같아요 워낙 건강한 체질
308,건강,저 괜찮았는데 귀가 갑자기 아프더라고요
309,건강,귀 귀 왜 어떻게 아픈 거 예요
310,건강,한 쪽 귀가 압 엄청 올라가고 아파서 힘들었어요
311,건강,워메 갑자기 왜 그런 거지 지금 은 괜찮은 거 죠
312,건강,사일 지나 니깐 괜찮아졌어요
313,건강,고 고생 하셨네요 코로나 걸리는 것 보단 낫겠죠
314,건강,저번 한 눈 시술 뭐 였지
315,건강,안검 내 반 속눈썹 밑 에가 눈 자꾸 찔러서 상처 나고 그래서 했지
316,건강,쌍수 랑 많이 다른 나도 속눈썹 말려 들어가서 쌍수 했 걸 랑
317,건강,으응 거 밑 라서 밑 살 자르고 꼬매 거 라 하고 나면 외관 상 티 두 안
318,건강,아아 한 지 지금 얼마나 됐지
319,건강,담 달 면 두 달 짼데 흉터 아직 두 남아 있슈 사람 마다 다른데 난 오래 갈 덧
320,건강,하는데 많이 아팠지 살 자르는 거 으으 아파
321,건강,아우 아픈 거 보단 마취 하고 자를 때 자르는 느낌 무서워서 식은땀 으로 온 몸 적시 나옴
322,건강,생각 만 해도 소름 고생 했어 이제 속눈썹 덤벼 임 오케이
323,건강,땅큐 마자 마자 이제 눈부심 이나 눈 시림 없어졌다구 신세계
324,건강,흉터 얼마나 간대 금방 없어지나
325,건강,거의 후기 보면 달이 면 없어지던데 랑 비슷한 흉 가진 사람 은 일 년 갔다더라 내 미래
326,건강,아악 안되는데 왜 하필 케바케 니깐 잘 관리 해봐
327,건강,살 성 별루 안 좋은가 벼 웅웅 감기 조심해 친규 일 교차 어마어마하다
328,건강,딱 걸리기 좋은 날씨 아침 저녁 으로 싸매고 다녀
329,건강,감기 조심 코로나 조심 면역 력 관리 잘 해
330,건강,정말 언니 또 이상하면 바로 병원 가요
331,건강,그래야지 나도 무서워서 바로 가는 중
332,건강,정말 부작용 게 백신 때문 인 건지 알 수가 없으니
333,건강,니깐 그것 때문 뭐 보상 못 받고 게 뭐
334,건강,정말 백신 때문 아니라고 하고
335,건강,니깐 뭐 만 하면 아니래 웃겨
336,건강,맞아요 놓고 보상 해준다고 하고
337,건강,니깐 어떻게 해줄 거야
338,건강,해줄 생각 은 있는 건지
339,건강,그러니까 요 백신 으로 죽은 사람 들 은 보상 받았는지 몰라요
340,건강,그걸 정확하게 밝힐 수가 없으니깐 문제 지
341,건강,정말 게 백신 때문 인 건지 아닌지 알 수 없으니
342,건강,니깐 너무 무섭잖아
343,건강,정말 언니 얼른 나았으면 좋겠당
344,건강,두 얼른 안정 되면 좋겠어
345,건강,저 요 정말 안정 됐으면 좋겠어요
346,건강,은 아직 일차 맞았지
347,건강,낚시 오래 하니까 손목 아픔
348,건강,구 니까 손목 왜 푸냐
349,건강,난 요즘 속이 안 좋아서 계속 약 먹음
350,건강,허리 랑 손목 어깨 이런 데 아프노
351,건강,손목 약한 건가 원래 아픈 건가
352,건강,설사 심하고 병원 가서 약 타 왔는디 안 나아
353,건강,손목 아파
354,건강,운동 부족 인가
355,건강,운동 쟈
356,건강,손목 은 안 아프건 딩
357,건강,손목 운동 하긴 해야 행
358,건강,사실 난 안 아파
359,건강,괜히 봄
360,건강,낚시 부족 인가
361,건강,손목 안 아파
362,건강,낚시 오래 하면 아픔
363,건강,요령 없는 거 아녀
364,건강,손목 운동 은 먼딩
365,건강,나도 알려줘
366,건강,허리 아프고 요즘 파스 달 고 살
367,건강,난 손목 은 안 아픔
368,건강,손목 힘 많이 들어가나 봄
369,건강,낚시 하면 살 빠질 듯
370,건강,동 전 파스 를 붙이는 게 최고 징
371,건강,어깨 좀 아프더라
372,건강,어깨 랑 목 빠질 거 같 애
373,건강,우리 담 거기 서 라면 끓여 먹자
374,건강,동전 파스 나도 있는 뎅 효과 잘 모르 겟슈
375,건강,건강검진 주 기적 으로 하니
376,건강,최근 피 검사 받았어
377,건강,내시경 해봤어 어때
378,건강,아직 안 해봤는데 너무 무서울 것 같아
379,건강,피 검사 할 때 개 무섭잖아
380,건강,피는 어렸을 때 부터 자주 뽑아서 그건 괜찮아
381,건강,난 증 맬 쫄보 인가 봐 내시경 넘 무섭
382,건강,그건 나도 무서워
383,건강,않을까
384,건강,피 왜 자주 뽑았어
385,건강,난 헌혈 무서워
386,건강,어렸을 때 빈혈 심해서 약 먹으면서 주 기적 으로 체크 했어
387,건강,헌혈 바늘 큰 거 봤 제
388,건강,바늘 구멍 눈 보이는 거 실화 냐 고
389,건강,헌혈 은 해본 적 없다 무슨 수치 매번 너무 낮아서
390,건강,그래서 니 엄청 하얀 거니
391,건강,사람 핏기 없어
392,건강,내 얘
393,건강,아냐 요즘 좀 노르 팅팅 해
394,건강,연약한 아이 였구나
395,건강,몸무게 많이 나가는 연약한 아이 구나 내
396,건강,어디 아픈 데 없는고
397,건강,내 운동 맨 이라서 절대 없지
398,건강,건강 챙기야 된다우 동무
399,건강,맨날 잔소리 한다 술 묵지 마 라고
400,건강,건강 자신만만하지 말고
401,건강,운동 안 해서 큰일 이다
402,건강,같이 끌 고 해야 긋다
403,건강,술 조금 만 무 지 양반
404,건강,요즘 은 엄청 많이 안 묵는다
405,건강,차라리 건강한 거 아냐
406,건강,운동 제로 라서 안 건강할 걸
407,건강,오늘 술 뭇 다미
408,건강,한 병 이제 골프 한다 하던데 다시
409,건강,골프 제일 재밌나 봄
410,건강,장인어른 계속 해라 해서 하더라 이제 한께 요즘
411,건강,내 랑 같이 낚시 다니 자고 행
412,건강,낚시 맛 들였나 보네 손맛 쩐다 데
413,건강,오늘 운동 겁나 빡세 가지 고 끝나고 나서 다리 후 들 거리 더 라
414,건강,어떤 운동 했길래 많이 힘들었어
415,건강,오늘 아주 근육 불타더군
416,건강,근력 운동 했어 필라테스 근력 운동 되나 보구
417,건강,오른쪽 보다 왼쪽 근육 짧은 건지 많이 안 좋은 건지 왼쪽 만 했다 하면 다리 듯이 지진 남
418,건강,왼쪽 근육 덜 발달 했나 보네
419,건강,왼쪽 다리 지진 것 만 멈춰도 난 필테 성공 이다
420,건강,계속 하다 보면 근육 많이 좋아지지 않을까
421,건강,가가 겁나 귀찮은데 막상 하고 나면 잘 했다 싶음
422,건강,나도 필라테스 하고 싶더라 운동 으로 좋은 거 같아
423,건강,필테가 속 근육 잡아 준다 더 라고 괜찮은 듯
424,건강,자세 교정 되고 좋다고 하더라고
425,건강,누나 맞춤 형 운동 인 듯
426,건강,자세 교정 아주 간절하게 원했지
427,건강,자세 교정 되고 있는 거 같아
428,건강,처음 시작 할 때 보단 나아진 듯
429,건강,운동 은 꾸준히 하는 게 중요한 거 같아
430,건강,안경 쓰기 너무 귀찮다
431,건강,눈 수술 할까
432,건강,안경 쓰고 다니기 귀찮긴 하지
433,건강,원래 안경 쓰지 않았냐
434,건강,원래 썼었지
435,건강,지금 은 눈 수술 해서 안 쓰고 다니지
436,건강,눈 수술 뭐 로 했어 라식 라섹
437,건강,옛날 라섹 으로 수술 했었어
438,건강,지금 어때 잘 보임
439,건강,괜찮은 거 같아
440,건강,엄청 잘 보이 고 엄청 편해졌지
441,건강,가격 대 비싸지 않냐
442,건강,옛날 해서 그때 좀 비쌌는데 지금 은 좀 싸진 거 같던데
443,건강,런가 한번 찾아봐야겠네
444,건강,옛날 보다 더 기술 발전 해서 별의별 수술 많이 생겼는데
445,건강,보 니까 무슨 스마트 라섹 렌즈삽입술 뭐 별거 있더라고
446,건강,이번 내 친구 스마트 렌즈 삽 입술 했는데 잘 된 거 같더라고
447,건강,렌즈 삽 입술 은 엄청 비싸다고 한 거 같은데
448,건강,걔 만 원인 만 원인 주고 한 거 같더라고
449,건강,그래서 이번 추석 때 헬스장 안 갔다고
450,건강,헬스장 안 간지 주 넘은 거 같다 진심
451,건강,그래서 난 홈트 를 시작 할까 생각 중
452,건강,홈트 아무나 하는 거 아니데이
453,건강,더워지니까 할 수 있지 않을까
454,건강,못 할 거 같은데 헤헤
455,건강,유튜브 땅 끄 부부
456,건강,알 지 힘들디
457,건강,보면서 하면 할 수 있을 듯
458,건강,재밌긴 하더라 그건
459,건강,헬스 선생님 들 사람 들 싫어한대
460,건강,때문 헬스장 안
461,건강,쉽게 잘 가르쳐서 직장 잃을까 봐라 던데
462,건강,에이 또 헬스 랑은 다르지
463,건강,암튼 시작 예정 이야 응원 해줘
464,건강,화이팅 이번 엔 성공하자
465,건강,출산 하고 나서 몸 조리 잘 했나
466,건강,몸조리 잘 하려고 노력 했지
467,건강,나름 잘 해서 지금 아픈 곳 은 없는 거 같아
468,건강,아기 낳고 나면 들 안 아프던 사람 들 건강 많이 안 좋아진다고 하던데
469,건강,그런 사람 들 많더라고 얘기 듣고 나도 좀 더 신경 썼지
470,건강,다행 이다
471,건강,뼈 많이 약해진다고 하더라 잘 챙겨 먹어야 해
472,건강,손목 많이 쓰니깐 아프긴 하네
473,건강,영 양제 같은 것 꾸준히 챙겨 먹고 있나
474,건강,챙겨 먹다가 이제 귀찮아서 잘 안 먹게 되더라
475,건강,손목 마사지 같은 것 틈틈히 해주고 해
476,건강,아무래도 아기 키우니 들었다 놨다 많이 쓰게 되 더 라고
477,건강,안된다 귀찮아도 건강 생각 해서 꼬박꼬박 챙겨 먹어야 한다
478,건강,사 놓은 건 많은데 왜 이렇게 안 먹게 되는 거지
479,건강,내 앞 에도 비타민 있는데 나도 잘 안 챙겨 먹네
480,건강,날짜 지나서 버리는 것 엄청 많아
481,건강,습관 들이는 게 쉬운 게 아니다
482,건강,건강 은 건강할 때 챙겨야 한다 안 하나
483,건강,우리 지금 부터라도 잘 챙겨 먹어 보자
484,건강,넌 병원 자주 가는 편이
485,건강,저 거의 안 가요 제 가면 아픈 거
486,건강,내 룸메 안 가던데
487,건강,누나 자주 가요 누나 안 가는구나
488,건강,엄살 심해서 자주
489,건강,자주 가야 또 건강할 수 있는 것 같아요
490,건강,맞다 골골 이라는 말 알
491,건강,그게 뭐 예요 골골 거리 사람 살 까지 산다
492,건강,지금 은 젊지만 조금씩 골골 거리 면서 아픈 사람 들 병원 자주 가서 오래 산대
493,건강,대단하네요 사람 들 말 잘 지어내
494,건강,살 까지 살아야 하니까 병원 자주 가야 지
495,건강,그런 패기 라면 가능할 것 같아요 살 좋다 멋지다
496,건강,몇 살 까지 살 고 싶다는 생각 안 해봤어
497,건강,저 적당히 살다가 들 갈 때 가고 싶어요
498,건강,오래 살다 보면 외계인 만나고 달 에도 가고 그럴 수 있잖아
499,건강,누나 외계인 있다고 믿어요
